App,Package,Start Time,Duration,Filename
"Airbnb",com.airbnb.android,"Feb 20, 2018 @ 06:50:52 PM","43 sec",""

Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",
34671,800000,34672,800000,34672,800000,34673,800000,
34772,800000,34772,800000,34773,800000,34773,800000,
34872,800000,34873,800000,34873,800000,34873,800000,
34973,800000,34974,800000,34974,800000,34974,800000,
35074,800000,35074,800000,35075,800000,35075,800000,
35175,800000,35175,800000,35175,800000,35176,800000,
35275,800000,35276,800000,35276,800000,35277,800000,
35376,800000,35377,800000,35377,800000,35377,800000,
35427,800000,35427,800000,35428,800000,35428,800000,
35527,998400,35528,998400,35528,998400,35528,998400,
35628,800000,35628,800000,35629,800000,35629,800000,
35729,998400,35729,998400,35729,998400,35730,998400,
35829,800000,35830,800000,35830,800000,35831,800000,
35930,998400,35931,998400,35931,998400,35931,998400,
36030,998400,36031,998400,36031,998400,36032,998400,
36131,1094400,36131,1094400,36132,1094400,36132,1094400,
36232,800000,36233,800000,36234,800000,36234,800000,
36332,998400,36333,998400,36333,998400,36334,998400,
36433,800000,36433,800000,36434,800000,36434,800000,
36533,998400,36534,998400,36534,998400,36535,998400,
36635,800000,36635,800000,36635,800000,36636,800000,
36736,800000,36736,800000,36736,800000,36737,800000,
36836,800000,36837,800000,36837,800000,36838,800000,
36937,800000,36938,800000,36938,800000,36939,800000,
37038,800000,37038,800000,37038,800000,37039,800000,
37139,800000,37139,800000,37139,800000,37140,800000,
37239,800000,37240,800000,37240,800000,37241,800000,
37340,800000,37341,800000,37342,800000,37342,800000,
37441,800000,37442,800000,37442,800000,37443,800000,
37542,800000,37542,800000,37543,800000,37543,800000,
37643,800000,37643,800000,37644,800000,37644,800000,
37744,998400,37745,998400,37745,998400,37745,998400,
37845,998400,37845,998400,37846,998400,37846,998400,
37946,998400,37946,998400,37947,998400,37947,998400,
38046,800000,38047,800000,38047,800000,38048,800000,
38147,800000,38148,800000,38148,800000,38148,800000,
38248,800000,38248,800000,38248,800000,38249,800000,
