App,Package,Start Time,Duration,Filename
"Airbnb",com.airbnb.android,"Feb 20, 2018 @ 07:36:30 PM","40 sec",""

Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",
21394,310000,21395,48,21396,39,21397,998400,21397,998400,21401,30,21402,998400,21403,998400,
21495,310000,21495,48,21496,20,21497,1209600,21497,1209600,21501,17,21501,1209600,21501,1209600,
21596,310000,21597,48,21598,23,21599,998400,21599,998400,21604,21,21605,998400,21605,998400,
21697,310000,21698,48,21700,30,21701,1094400,21701,1094400,21707,25,21707,1094400,21708,1094400,
21799,310000,21801,48,21803,31,21806,998400,21807,998400,21817,29,21818,1209600,21820,1209600,
21900,310000,21902,56,21904,30,21904,800000,21905,800000,21911,25,21912,800000,21913,800000,
22002,310000,22003,56,22004,17,22005,800000,22005,800000,22011,13,22012,800000,22012,800000,
22103,310000,22104,56,22105,26,22106,998400,22106,998400,22111,19,22112,998400,22113,998400,
22203,310000,22204,56,22205,48,22205,1209600,22205,1209600,22213,41,22214,1209600,22214,1209600,
22305,310000,22306,56,22307,52,22307,1209600,22307,1209600,22313,50,22314,1209600,22314,1209600,
22406,310000,22407,56,22407,31,22408,1209600,22408,1209600,22413,31,22414,1209600,22414,1209600,
22506,310000,22507,56,22508,44,22509,1209600,22509,1209600,22519,42,22520,1209600,22521,1209600,
22607,310000,22608,56,22609,46,22609,1209600,22609,1209600,22615,44,22615,1209600,22616,1209600,
22711,310000,22713,56,22715,59,22716,998400,22717,1152000,22721,47,22721,1152000,22722,1152000,
22812,310000,22813,56,22814,21,22815,998400,22815,998400,22819,16,22820,1209600,22820,1209600,
22913,310000,22914,49,22915,20,22915,998400,22916,998400,22920,22,22921,998400,22921,998400,
23014,310000,23014,49,23015,36,23016,1094400,23016,1094400,23020,28,23021,1094400,23021,1094400,
23114,310000,23115,49,23116,53,23117,1209600,23117,1209600,23123,49,23123,1209600,23124,1209600,
23215,310000,23216,49,23217,15,23218,998400,23218,998400,23223,14,23223,998400,23224,998400,
23316,310000,23317,49,23318,25,23319,998400,23319,998400,23324,20,23325,998400,23325,998400,
23417,310000,23418,49,23419,29,23420,998400,23420,998400,23425,20,23425,998400,23426,998400,
23518,310000,23519,49,23520,20,23520,998400,23521,998400,23531,16,23532,998400,23532,998400,
23618,310000,23619,49,23620,18,23620,1209600,23621,1209600,23624,17,23625,1209600,23625,1209600,
23720,310000,23721,49,23723,26,23723,998400,23724,998400,23729,21,23730,998400,23730,998400,
23820,400000,23821,49,23823,41,23823,1209600,23824,1209600,23828,37,23829,1209600,23830,1209600,
23921,400000,23922,42,23923,43,23924,1209600,23924,1209600,23931,43,23932,1209600,23932,1209600,
24022,400000,24023,42,24024,57,24024,1209600,24025,1209600,24031,57,24031,1209600,24032,1209600,
24122,400000,24123,42,24124,43,24124,1209600,24125,1209600,24133,43,24134,1209600,24134,1209600,
24223,400000,24224,42,24225,43,24225,1209600,24225,1209600,24234,42,24234,1209600,24234,1209600,
24323,400000,24324,42,24325,54,24325,1209600,24326,1209600,24332,53,24333,1209600,24333,1209600,
24424,400000,24424,42,24425,41,24426,1209600,24426,1209600,24433,40,24434,1209600,24434,1209600,
24525,400000,24525,42,24526,35,24527,1209600,24527,1209600,24535,34,24536,1209600,24537,1209600,
24625,310000,24626,42,24627,28,24628,1209600,24628,1209600,24633,29,24633,1209600,24634,1209600,
24726,310000,24727,42,24729,31,24729,1094400,24730,1094400,24739,28,24739,1094400,24740,1094400,
24827,310000,24828,42,24829,31,24829,998400,24831,998400,24837,27,24838,1209600,24838,1209600,
24928,310000,24930,57,24933,21,24933,998400,24934,998400,24939,19,24939,998400,24940,998400,
25030,310000,25031,57,25032,30,25032,1209600,25033,1209600,25036,23,25037,1209600,25037,1209600,
25131,310000,25133,57,25134,45,25135,998400,25136,998400,25140,38,25141,1094400,25141,1094400,
25232,310000,25233,57,25234,18,25234,1209600,25234,1209600,25238,18,25239,1209600,25239,1209600,
25333,310000,25334,57,25335,30,25335,998400,25335,998400,25342,27,25343,998400,25343,998400,
25434,310000,25434,57,25436,28,25436,1209600,25436,1209600,25444,26,25444,1209600,25445,1209600,
25534,310000,25535,57,25536,23,25537,1209600,25537,1209600,25546,22,25546,1209600,25547,1209600,
25635,310000,25636,57,25637,25,25637,1209600,25638,1209600,25642,22,25643,1209600,25643,1209600,
25737,310000,25738,57,25739,26,25740,800000,25740,800000,25747,19,25748,800000,25749,800000,
25838,310000,2583
